City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Kapaa,40,US,1570554678,88,22.08,-159.32,75.2,8.05
Puerto del Rosario,20,ES,1570554678,78,28.5,-13.86,78.8,10.29
La Ronge,90,CA,1570554678,58,55.1,-105.3,32.0,14.99
Quatre Cocos,75,MU,1570554678,69,-20.21,57.76,73.4,12.75
Zhuhai,0,CN,1570554679,60,40.71,112.04,42.8,4.47
Gejiu,96,CN,1570554679,93,23.36,103.16,56.21,2.71
Waingapu,0,ID,1570554679,83,-9.65,120.26,78.89,11.98
Utiel,0,ES,1570554679,61,39.57,-1.21,79.0,9.17
Yumen,94,CN,1570554679,37,40.29,97.04,52.79,6.26
Nikolayevka,100,RU,1570554679,58,46.73,38.57,51.17,10.16
Cape Town,75,ZA,1570554680,63,-33.93,18.42,66.0,10.29
Upernavik,100,GL,1570554680,48,72.79,-56.15,30.11,6.82
Severo-Kurilsk,98,RU,1570554680,97,50.68,156.12,41.45,12.66
Vila do Maio,20,CV,1570554680,52,15.13,-23.22,89.6,16.11
Leningradskiy,100,RU,1570554680,97,69.38,178.42,33.89,29.28
Cabo San Lucas,5,MX,1570554680,41,22.89,-109.91,96.01,8.05
Saskylakh,70,RU,1570554681,97,71.97,114.09,16.97,9.46
Fort-Shevchenko,47,KZ,1570554681,65,44.51,50.26,61.79,21.21
Muyezerskiy,100,RU,1570554681,97,63.93,31.65,31.19,10.06
Sao Raimundo das Mangabeiras,54,BR,1570554681,19,-7.02,-45.48,100.13,7.99
Hilo,90,US,1570554681,83,19.71,-155.08,75.2,4.7
Batagay-Alyta,69,RU,1570554681,90,67.8,130.41,9.95,4.7
Leninsk,0,RU,1570554682,71,48.69,45.2,51.8,11.18
Asola,5,IT,1570554682,55,45.22,10.41,69.01,1.12
Dukat,41,AL,1570554682,71,40.25,19.57,68.0,3.67
Sept-Iles,75,CA,1570554682,46,50.2,-66.38,55.0,21.92
Kysyl-Syr,99,RU,1570554682,96,63.9,122.77,26.15,5.53
Tabou,84,CI,1570554682,82,4.42,-7.36,76.37,6.49
Tateyama,49,JP,1570554683,95,36.66,137.31,62.01,2.24
Qianan,0,CN,1570554683,40,44.99,124.06,48.11,10.78
Gazojak,0,TM,1570554683,19,41.19,61.4,68.81,8.83
Portland,75,US,1570554683,48,43.66,-70.25,64.4,13.87
Darhan,0,MN,1570554684,52,49.49,105.92,44.69,7.61
Idenao,40,CM,1570554684,74,4.25,9.0,82.4,8.05
Katherine,30,AU,1570554684,34,-14.47,132.26,80.6,8.05
Baghdad,0,IQ,1570554684,33,33.3,44.38,91.4,4.7
Kahului,1,US,1570554684,72,20.89,-156.47,77.0,7.94
Verkhnyaya Inta,78,RU,1570554685,84,65.99,60.32,38.03,7.83
Sassandra,68,CI,1570554685,85,4.95,-6.09,76.55,8.87
Martinsburg,75,US,1570554685,72,39.46,-77.96,64.0,8.05
Esperance,99,AU,1570554685,71,-33.86,121.89,55.4,13.87
Ribeira Grande,20,PT,1570554685,56,38.52,-28.7,69.8,16.11
Tamandare,41,BR,1570554685,38,-8.28,-70.75,93.47,2.04
Hobyo,6,SO,1570554686,74,5.35,48.53,80.87,12.1
Juegang,56,CN,1570554686,81,32.31,121.18,64.99,9.64
Acapulco,90,MX,1570554686,88,16.86,-99.88,77.0,5.82
Georgetown,75,GY,1570554686,66,6.8,-58.16,89.6,13.87
Talnakh,0,RU,1570554686,92,69.49,88.39,19.4,4.47
Lamar,1,US,1570554686,29,38.09,-102.62,62.6,6.93
Chokurdakh,3,RU,1570554687,98,70.62,147.9,4.55,1.75
Eureka,20,US,1570554687,93,40.8,-124.16,59.0,5.82
Dubti,100,ET,1570554687,41,11.74,41.09,88.97,7.65
Necochea,39,AR,1570554687,58,-38.55,-58.74,59.0,13.0
Alexandria,28,RO,1570554687,78,43.97,25.33,48.0,5.82
West Monroe,1,US,1570554688,60,32.52,-92.15,73.99,9.17
Lavrentiya,100,RU,1570554688,98,65.58,-170.99,32.45,5.03
Pisco,90,PE,1570554688,30,-13.71,-76.2,71.6,9.17
Aykhal,90,RU,1570554688,92,65.95,111.51,17.6,8.95
Deputatskiy,100,RU,1570554688,99,69.3,139.9,1.67,2.68
Laguna,75,BZ,1570554689,79,16.17,-88.94,86.0,4.7
Nyurba,79,RU,1570554689,93,63.29,118.35,14.99,3.6
Ancud,75,CL,1570554689,66,-41.87,-73.83,51.8,4.7
Mahebourg,75,MU,1570554689,69,-20.41,57.7,73.4,12.75
Marau,0,BR,1570554689,56,-28.45,-52.2,71.6,9.17
Avarua,100,CK,1570554690,60,-21.21,-159.78,69.8,9.17
Lompoc,90,US,1570554581,93,34.64,-120.46,60.8,10.13
Castro,75,CL,1570554690,66,-42.48,-73.76,51.8,4.7
Carnarvon,0,ZA,1570554690,17,-30.97,22.13,68.27,11.92
Mocuba,3,MZ,1570554690,52,-16.84,36.99,81.95,4.45
La Sarre,7,CA,1570554690,57,48.8,-79.2,53.87,8.5
Chiang Kham,5,TH,1570554691,94,19.53,100.3,73.4,3.36
Broken Hill,0,AU,1570554691,49,-31.97,141.45,48.2,9.17
Saint-Augustin,40,CA,1570554691,47,45.63,-73.98,62.01,3.36
Fria,75,GN,1570554691,95,10.36,-13.58,75.29,4.01
Ponta do Sol,100,BR,1570554691,76,-20.63,-46.0,72.77,2.98
Tumen,0,CN,1570554691,47,42.97,129.84,40.01,6.76
Port Hedland,0,AU,1570554692,94,-20.31,118.58,69.8,4.7
Bombay,1,US,1570554692,44,44.94,-74.57,62.01,4.7
Baykit,34,RU,1570554692,76,61.68,96.39,24.53,2.8
Saint-Louis,75,SN,1570554692,66,16.03,-16.5,89.6,6.93
Norman Wells,75,CA,1570554692,92,65.28,-126.83,24.8,3.36
Kaitangata,100,NZ,1570554693,91,-46.28,169.85,48.99,4.0
Kieta,100,PG,1570554693,77,-6.22,155.63,80.51,5.1
Kalakamati,20,BW,1570554693,8,-20.59,27.31,93.2,6.93
Cedar City,1,US,1570554693,17,37.68,-113.06,66.2,7.92
Hofn,100,IS,1570554693,97,64.25,-15.21,37.31,12.1
Los Llanos de Aridane,75,ES,1570554693,69,28.66,-17.92,75.2,12.75
Saint-Pierre,100,FR,1570554694,100,48.95,4.24,59.0,12.75
Kupino,0,RU,1570554694,69,54.36,77.31,49.91,5.31
Sur,0,OM,1570554694,69,22.57,59.53,79.43,5.14
Sobolevo,100,RU,1570554694,90,54.43,31.9,38.39,11.05
Marawi,44,PH,1570554694,90,8.0,124.29,75.0,7.0
East London,0,ZA,1570554694,72,-33.02,27.91,66.2,6.93
Constitucion,5,MX,1570554695,37,23.99,-104.67,68.0,3.36
Aurora,1,US,1570554695,45,41.76,-88.32,71.01,5.82
Bhanvad,9,IN,1570554695,62,21.93,69.78,83.21,4.65
Kalmunai,13,LK,1570554695,75,7.42,81.82,82.85,8.76
Seddon,75,AU,1570554695,81,-37.81,144.89,52.0,9.17
Kaspiysk,90,RU,1570554696,77,42.88,47.64,64.4,6.71
Petropavlovsk-Kamchatskiy,98,RU,1570554696,100,53.05,158.65,35.6,8.95
Shingu,29,JP,1570554696,67,33.72,135.99,66.65,12.48
Hamilton,20,CA,1570554696,67,43.26,-79.87,66.0,8.05
Makakilo City,90,US,1570554696,78,21.35,-158.09,77.0,3.36
Comodoro Rivadavia,40,AR,1570554696,49,-45.87,-67.48,60.8,20.8
Didao,0,CN,1570554697,58,45.35,130.84,36.41,9.22
Russell,1,US,1570554697,39,38.9,-98.86,70.0,23.04
Tual,99,ID,1570554697,84,-5.67,132.75,79.07,16.82
Hendek,75,TR,1570554697,100,40.8,30.75,55.4,3.36
Otane,60,NZ,1570554697,79,-39.89,176.62,54.0,8.99
Gualaquiza,100,EC,1570554698,98,-3.4,-78.58,52.79,5.26
Tasiilaq,75,GL,1570554698,60,65.61,-37.64,42.8,6.93
Nome,75,US,1570554698,68,30.04,-94.42,79.0,5.82
Cap Malheureux,75,MU,1570554698,69,-19.98,57.61,73.4,12.75
Nanortalik,100,GL,1570554698,88,60.14,-45.24,39.65,10.81
Yartsevo,99,RU,1570554699,89,55.07,32.69,37.49,9.01
Longyearbyen,75,NO,1570554699,93,78.22,15.63,35.6,2.82
Birjand,0,IR,1570554699,18,32.86,59.22,69.8,6.93
Dikson,0,RU,1570554699,78,73.51,80.55,21.47,10.29
Luba,0,PH,1570554699,85,17.32,120.7,71.87,5.32
Marrakesh,0,MA,1570554699,12,31.63,-7.99,96.8,6.93
Yanam,100,IN,1570554700,91,16.73,82.22,76.91,1.9
Marsh Harbour,100,BS,1570554700,76,26.54,-77.06,81.05,9.82
Saint George,90,GR,1570554700,100,39.45,22.34,60.8,5.82
Kandrian,98,PG,1570554700,97,-6.21,149.55,73.49,7.29
Krasnyy Yar,100,RU,1570554700,88,50.7,44.73,45.23,6.87
Imeni Poliny Osipenko,87,RU,1570554701,96,52.42,136.49,39.83,3.25
Sitka,0,US,1570554701,41,37.17,-99.65,71.01,25.01
Noumea,40,NC,1570554701,88,-22.28,166.46,75.0,2.24
North Platte,1,US,1570554701,58,41.12,-100.77,62.01,5.82
Grindavik,0,IS,1570554701,76,63.84,-22.43,53.6,4.7
Port Blair,90,IN,1570554702,70,11.67,92.75,83.57,6.77
Aklavik,40,CA,1570554702,85,68.22,-135.01,24.8,3.36
Elk City,1,US,1570554702,45,35.41,-99.4,69.8,19.46
Iqaluit,75,CA,1570554702,87,63.75,-68.52,42.8,4.7
Cherskiy,99,RU,1570554702,94,68.75,161.3,15.35,13.3
Rondonopolis,29,BR,1570554703,39,-16.46,-54.64,90.95,6.35
Wanning,75,AT,1570554703,76,48.64,13.53,57.2,9.17
Rancho Palos Verdes,1,US,1570554703,53,33.75,-118.37,77.0,5.14
Asasa,53,ET,1570554703,90,7.1,39.2,47.93,3.0
Narsaq,75,GL,1570554703,97,60.91,-46.05,41.0,4.7
Badarganj,46,BD,1570554703,78,25.68,89.06,77.27,3.96
Bonthe,100,SL,1570554704,93,7.53,-12.5,75.47,13.32
Rocha,0,UY,1570554704,47,-34.48,-54.34,68.81,8.23
Viedma,39,AR,1570554704,28,-40.81,-62.99,63.77,16.51
Sidi Ali,0,DZ,1570554704,71,36.1,0.42,72.59,19.3
Araouane,35,ML,1570554705,10,18.9,-3.53,99.05,8.72
Ardakan,0,IR,1570554705,15,32.31,54.02,77.0,2.24
Lincoln,20,GB,1570554705,71,53.23,-0.54,57.2,11.41
Dunedin,100,NZ,1570554490,91,-45.87,170.5,51.01,7.0
Camacha,40,PT,1570554705,69,33.08,-16.33,77.0,17.22
Kropotkin,100,RU,1570554705,86,45.43,40.58,50.27,15.61
Byron Bay,90,AU,1570554419,77,-28.65,153.62,66.99,11.41
Malanje,74,AO,1570554706,64,-9.54,16.35,75.29,2.06
Tapes,0,BR,1570554706,53,-30.67,-51.4,76.01,6.51
Launceston,7,AU,1570554706,74,-41.43,147.14,39.0,3.36
Emilio Carranza,89,MX,1570554706,67,19.97,-96.61,78.89,6.02
Umm Lajj,17,SA,1570554706,70,25.02,37.27,85.91,10.09
Tecoanapa,90,MX,1570554707,88,16.99,-99.26,77.0,5.82
San Fernando,20,TT,1570554707,94,10.28,-61.46,77.0,6.93
Samarai,88,PG,1570554707,90,-10.62,150.67,71.69,4.32
Fort Nelson,75,CA,1570554707,68,58.81,-122.69,28.4,5.82
Bijar,10,IR,1570554707,44,35.87,47.6,52.61,5.31
Xiazhen,40,TW,1570554708,83,23.89,120.95,81.0,2.24
Coihaique,75,CL,1570554708,50,-45.58,-72.07,51.8,10.29
Mar del Plata,88,AR,1570554708,34,-46.43,-67.52,56.57,21.65
Vestmannaeyjar,75,IS,1570554708,93,63.44,-20.27,50.0,6.93
Gusau,96,NG,1570554708,76,12.17,6.66,78.71,5.03
Shache,100,CN,1570554708,63,38.42,77.24,68.0,1.99
Bowen,0,AU,1570554709,93,-20.01,148.25,66.2,6.93
Torbay,90,CA,1570554709,82,47.66,-52.73,62.6,16.11
Klaksvik,75,FO,1570554709,93,62.23,-6.59,50.0,20.8
Hasaki,75,JP,1570554709,94,35.73,140.83,69.8,5.82
Nikolskoye,75,RU,1570554709,95,59.7,30.79,41.0,11.18
Saint-Denis,98,FR,1570554709,87,48.94,2.36,59.0,8.05
Chifeng,0,CN,1570554710,34,42.27,118.96,42.35,8.34
Kavieng,26,PG,1570554710,73,-2.57,150.8,84.65,10.85
Chama,67,ZM,1570554710,30,-11.22,33.16,81.95,5.66
Kattivakkam,20,IN,1570554710,79,13.22,80.32,84.99,4.7
Qaqortoq,75,GL,1570554710,97,60.72,-46.03,41.0,4.7
Meulaboh,100,ID,1570554710,77,4.14,96.13,79.97,4.97
Senno,100,RU,1570554711,80,57.76,27.95,41.0,6.71
Valparaiso,1,US,1570554711,42,41.47,-87.06,70.0,6.93
Flin Flon,75,CA,1570554533,77,54.77,-101.88,39.2,20.8
Kruisfontein,1,ZA,1570554711,94,-34.0,24.73,55.67,2.06
Gijon,75,ES,1570554711,100,43.54,-5.66,62.01,5.82
Ludvika,100,SE,1570554711,93,60.15,15.18,37.99,3.36
Shahr-e Babak,43,IR,1570554712,40,30.12,55.12,66.83,10.97
Ushtobe,43,KZ,1570554712,36,45.25,77.98,61.25,2.24
Bilibino,100,RU,1570554712,96,68.06,166.44,11.57,2.77
Dudinka,0,RU,1570554712,92,69.41,86.18,19.4,4.47
Zyryanka,100,RU,1570554712,70,65.73,150.89,17.87,5.7
Miri,92,NG,1570554713,87,10.31,9.75,73.13,4.92
Krasnoye,75,RU,1570554713,93,44.87,39.46,48.99,11.18
Pevek,100,RU,1570554713,85,69.7,170.27,31.37,17.63
Koceljeva,25,RS,1570554713,57,44.47,19.82,51.8,6.93
Dunhua,0,CN,1570554713,47,43.37,128.23,38.75,9.91
Jiaohe,0,CN,1570554713,51,43.72,127.34,38.57,5.82
Port Lincoln,34,AU,1570554473,67,-34.72,135.86,53.51,10.94
Kichmengskiy Gorodok,99,RU,1570554714,79,59.99,45.81,33.17,13.43
Birao,78,CF,1570554714,86,10.3,22.78,73.13,0.89
Krasne,0,UA,1570554714,52,49.91,24.61,46.4,6.71
Kyzyl-Suu,43,KG,1570554714,50,42.34,78.0,59.81,3.65
Fukue,20,JP,1570554714,60,35.03,136.69,69.8,19.46
Khandyga,91,RU,1570554715,85,62.65,135.58,23.81,5.1
Salalah,40,OM,1570554715,78,17.01,54.1,82.4,4.7
Dzhubga,100,RU,1570554715,95,44.32,38.7,45.41,7.43
Donskoye,40,RU,1570554715,76,45.45,41.98,57.0,4.47
Codrington,90,AU,1570554715,77,-28.95,153.24,66.2,4.7
Provost,100,CA,1570554715,70,52.35,-110.26,29.75,17.63
Sungaipenuh,100,ID,1570554716,98,-2.08,101.38,71.87,0.45
Sangamner,4,IN,1570554716,84,19.57,74.2,72.59,4.0
Arlit,42,NE,1570554716,15,18.74,7.39,99.95,3.47
Opuwo,1,NA,1570554716,28,-18.06,13.84,71.87,9.66
Solotcha,59,RU,1570554716,63,54.79,39.84,33.01,5.65
Ullapool,100,GB,1570554717,83,57.9,-5.16,54.0,8.99
Madiun,60,ID,1570554717,71,-7.63,111.52,75.65,6.49
Svetlogorsk,100,RU,1570554717,53,53.14,59.15,50.0,2.24
Tonk,0,IN,1570554717,52,26.16,75.79,78.71,1.12
San Jeronimo,0,PE,1570554717,328,-13.65,-73.37,37.4,8.05
Makuyuni,66,TZ,1570554717,95,-5.02,38.33,68.27,2.99
Qasigiannguit,5,GL,1570554718,63,68.82,-51.19,32.0,2.24
Pio IX,5,BR,1570554718,20,-6.83,-40.61,96.89,8.2
Tarakan,100,ID,1570554718,77,3.3,117.63,80.15,3.16
Bathsheba,20,BB,1570554718,66,13.22,-59.52,87.8,19.46
Naze,75,NG,1570554705,83,5.43,7.07,80.6,4.7
Lyuban,100,BY,1570554718,70,52.8,28.0,41.81,10.74
Paamiut,100,GL,1570554719,92,61.99,-49.67,39.29,11.25
Beloha,0,MG,1570554719,36,-25.17,45.06,81.59,3.4
Manitowoc,1,US,1570554719,55,44.09,-87.66,66.0,17.22
Daru,100,PG,1570554719,85,-9.07,143.21,73.67,6.61
Vao,99,EE,1570554719,91,59.1,26.19,40.01,10.74
Sinnamary,0,GF,1570554719,78,5.38,-52.96,82.85,19.28
Namatanai,57,PG,1570554720,86,-3.66,152.44,78.53,11.43
Amarante do Maranhao,62,BR,1570554720,34,-5.57,-46.74,94.91,7.23
Olinda,75,AU,1570554720,81,-37.84,145.39,52.0,9.17
Emmett,1,US,1570554720,41,43.87,-116.5,64.0,5.82
Fare,88,PF,1570554721,83,-16.7,-151.02,77.45,21.52
Matara,39,BI,1570554721,58,-3.48,29.48,63.23,6.33
Lorengau,45,PG,1570554721,72,-2.02,147.27,83.93,8.27
Ostrovnoy,100,RU,1570554721,96,68.05,39.51,37.31,15.79
Berlevag,75,NO,1570554722,80,70.86,29.09,39.2,16.11
Kitimat,20,CA,1570554722,69,54.02,-128.69,42.01,13.87
Grimshaw,40,CA,1570554722,53,56.19,-117.61,28.99,19.46
Awjilah,0,LY,1570554722,20,29.14,21.3,85.01,19.17
Dharangaon,47,IN,1570554722,74,21.01,75.27,79.25,5.73
Stephenville,90,CA,1570554723,93,48.55,-58.59,51.8,17.22
Minab,0,IR,1570554723,66,27.15,57.07,86.0,4.7
The Pas,90,CA,1570554723,87,53.82,-101.24,42.8,24.16
Sterling,90,US,1570554723,59,39.0,-77.4,66.99,4.7
Wajir,73,KE,1570554723,36,1.75,40.07,89.87,7.94
Burns Lake,24,CA,1570554724,37,54.23,-125.76,30.29,4.94
Kenai,75,US,1570554724,71,60.55,-151.26,45.0,9.17
Eyl,14,SO,1570554724,74,7.98,49.82,78.35,11.54
Le Mars,1,US,1570554724,45,42.79,-96.17,66.99,25.28
Mount Gambier,75,AU,1570554724,87,-37.83,140.78,44.6,5.82
Buala,89,SB,1570554725,81,-8.15,159.59,79.97,4.5
Novosheshminsk,100,RU,1570554725,65,55.06,51.22,42.53,4.92
Vinstra,100,NO,1570554725,98,61.6,9.73,29.75,3.05
Smithers,75,CA,1570554725,65,54.78,-127.17,32.0,6.93
Mezen,95,RU,1570554725,93,65.85,44.24,33.89,12.86
Vila Velha,40,BR,1570554726,55,-3.71,-38.6,86.0,20.8
Betsiamites,40,CA,1570554726,54,48.94,-68.65,55.4,9.17
Buin,0,CL,1570554726,24,-33.73,-70.74,78.8,3.36
Hirara,38,JP,1570554726,80,24.8,125.28,79.07,17.85
Saint-Joseph,35,FR,1570554726,52,43.56,6.97,73.4,4.7
Ogulin,0,HR,1570554726,48,45.27,15.22,60.8,3.36
Bow Island,90,CA,1570554727,89,49.87,-111.38,32.0,16.11
Bilma,48,NE,1570554727,24,18.69,12.92,93.83,9.19
Snezhnogorsk,75,RU,1570554727,94,69.19,33.23,37.4,13.42
Vakhrushev,100,RU,1570554727,97,48.99,142.86,47.75,10.02
Vila Franca do Campo,40,PT,1570554727,60,37.72,-25.43,71.01,17.22
Keffi,100,NG,1570554727,95,8.85,7.88,73.31,3.17
Porbandar,0,IN,1570554728,74,21.64,69.61,84.65,10.87
Alice Springs,0,AU,1570554728,30,-23.7,133.88,59.0,5.82
Cayenne,4,GF,1570554728,88,4.94,-52.33,78.8,12.75
Edd,19,ER,1570554728,54,13.93,41.69,90.41,16.28
Muhos,100,FI,1570554729,69,64.81,26.0,35.6,4.7
Umm Bab,1,QA,1570554729,49,25.21,50.81,89.6,6.93
Progreso,0,UY,1570554729,23,-34.68,-56.22,73.4,12.75
Porto Walter,58,BR,1570554729,38,-8.27,-72.74,94.19,2.48
Dauriya,1,RU,1570554729,79,49.93,116.85,42.17,10.54
Boa Vista,75,BR,1570554729,66,2.82,-60.67,86.0,4.7
Miles City,1,US,1570554730,41,46.41,-105.84,60.8,8.05
Richards Bay,1,ZA,1570554730,83,-28.77,32.06,69.89,5.38
Provideniya,100,RU,1570554730,99,64.42,-173.23,33.71,3.53
Mulki,75,PL,1570554730,76,49.81,20.51,51.01,3.36
Dovhe,100,UA,1570554730,54,51.33,26.46,44.87,10.98
Rudnyy,50,KZ,1570554731,61,52.96,63.12,48.2,4.34
Surt,48,LY,1570554731,65,31.21,16.59,73.13,11.6
Dzhebariki-Khaya,91,RU,1570554731,85,62.22,135.8,23.81,5.1
Muravlenko,100,RU,1570554731,76,63.79,74.5,33.71,16.2
Lauf,75,DE,1570554731,93,48.65,8.13,64.4,3.36
Lingao,60,CN,1570554731,78,19.91,109.69,81.05,16.23
Teguldet,19,RU,1570554732,91,57.31,88.17,32.81,4.22
Pedernales,96,EC,1570554732,79,0.07,-80.05,76.01,9.06
Tiarei,75,PF,1570554732,78,-17.53,-149.33,77.0,3.36
General Roca,0,AR,1570554732,18,-39.03,-67.58,64.4,13.87
Vostok,100,RU,1570554732,98,46.45,135.83,43.07,9.24
Lagoa,0,PT,1570554732,69,37.14,-8.45,80.01,5.82
Simao,2,CN,1570554733,89,22.76,100.79,59.99,1.36
Poum,75,MK,1570554733,66,41.28,20.71,55.4,2.24
Iberia,71,PE,1570554733,28,-11.41,-69.49,100.13,1.41
Luanda,20,AO,1570554733,78,-8.83,13.24,78.8,12.75
Karratha,0,AU,1570554733,35,-20.74,116.85,77.45,10.56
Oyek,75,RU,1570554734,93,52.59,104.46,44.6,15.66
Karpathos,20,GR,1570554734,69,35.51,27.21,75.2,5.82
Besancon,47,FR,1570554734,72,47.25,6.02,63.0,11.41
Porto Torres,0,IT,1570554734,64,40.84,8.4,71.6,4.7
Kuznechikha,100,RU,1570554734,97,63.45,41.73,34.25,11.54
Rincon de La Victoria,0,BO,1570554734,26,-21.52,-64.81,78.8,6.93
Ugoofaaru,71,MV,1570554735,73,5.67,73.0,82.85,8.14
Toccoa,40,US,1570554735,57,34.58,-83.33,84.99,8.05
Beringovskiy,98,RU,1570554735,68,63.05,179.32,32.99,16.23
